url,urltag,loadFor,watchFor,type,incrementScrollByPX,totalScroll
https://www.tiktok.com/@astrosamantha/video/7105016626243767557,AstroSam video1,,20000,openURL,,
https://www.tiktok.com/@chiaraferragni/video/7109051864821386501,ChiaraFerr video1,,5000,openURL,,
